macs,params,fitness_score,effectiveness,entropy,d,e,w_indices
458237952,8176266,2027.0289647202164,0.04059449960189332,1996.434465118323,"[2, 2, 2, 2]","[0.18, 0.1, 0.1, 0.18, 0.14, 0.1, 0.14, 0.14, 0.1, 0.1, 0.1, 0.1]","[9, 4, 4, 4, 4]"
508372992,8959786,2039.7564763019825,0.03875197662581634,2011.0044996761662,"[2, 2, 2, 2]","[0.18, 0.1, 0.14, 0.14, 0.14, 0.14, 0.18, 0.14, 0.1, 0.14, 0.1, 0.1]","[9, 4, 4, 4, 4]"
558704640,10008218,2060.2693219862485,0.03695433340039978,2033.3149885858488,"[2, 2, 2, 2]","[0.18, 0.14, 0.18, 0.14, 0.1, 0.1, 0.18, 0.14, 0.14, 0.14, 0.1, 0.14]","[9, 4, 5, 4, 4]"
608512032,10893530,2086.937373912136,0.035714258879330815,2061.2231150328053,"[2, 2, 2, 2]","[0.14, 0.1, 0.14, 0.18, 0.1, 0.14, 0.18, 0.14, 0.14, 0.1, 0.1, 0.1]","[9, 5, 5, 4, 5]"
658453504,12087946,2091.121105790208,0.03413755446716995,2066.983551323038,"[2, 2, 2, 2]","[0.22, 0.14, 0.14, 0.18, 0.14, 0.14, 0.18, 0.1, 0.1, 0.18, 0.14, 0.14]","[9, 4, 5, 5, 4]"
705052704,13215626,2130.470651288453,0.03311652406270619,2107.354127225747,"[2, 2, 2, 2]","[0.14, 0.1, 0.14, 0.18, 0.1, 0.1, 0.14, 0.1, 0.1, 0.14, 0.1, 0.1]","[9, 6, 5, 6, 5]"
758114288,16030538,2152.0545161989617,0.032219821978815406,2129.834694220146,"[2, 2, 2, 2]","[0.18, 0.1, 0.1, 0.14, 0.1, 0.1, 0.14, 0.1, 0.1, 0.1, 0.1, 0.1]","[9, 6, 5, 7, 6]"
808288288,14578554,2156.5740142037916,0.031099146180630803,2135.474868023161,"[2, 2, 2, 2]","[0.14, 0.14, 0.14, 0.14, 0.1, 0.1, 0.18, 0.1, 0.1, 0.18, 0.1, 0.1]","[9, 6, 6, 6, 5]"
855213040,16285498,2163.698140045535,0.030393100472347577,2143.3050395731875,"[2, 2, 2, 2]","[0.18, 0.14, 0.14, 0.14, 0.1, 0.14, 0.18, 0.14, 0.14, 0.14, 0.1, 0.1]","[9, 6, 6, 5, 6]"
907804704,18751146,2169.9393077878317,0.029456548205626376,2150.4827595822053,"[2, 2, 2, 2]","[0.22, 0.14, 0.14, 0.18, 0.14, 0.14, 0.14, 0.1, 0.1, 0.18, 0.14, 0.18]","[9, 6, 5, 7, 5]"
955536400,20465546,2191.7336464098785,0.029022713646263028,2172.7109327636153,"[2, 2, 2, 2]","[0.22, 0.22, 0.18, 0.14, 0.1, 0.1, 0.14, 0.1, 0.1, 0.14, 0.1, 0.1]","[9, 5, 7, 6, 7]"
1007448048,18479706,2192.633459417048,0.02831198529740368,2174.3214741196443,"[2, 2, 2, 2]","[0.22, 0.18, 0.18, 0.18, 0.1, 0.14, 0.18, 0.14, 0.1, 0.18, 0.1, 0.1]","[9, 6, 6, 6, 6]"
1055918064,20611146,2212.3723853683514,0.027521701226422668,2194.850684141929,"[2, 2, 2, 2]","[0.22, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.1, 0.1, 0.18, 0.14, 0.1]","[9, 6, 7, 7, 6]"
1107101680,20902314,2229.637240071229,0.026932028576368155,2212.7052114948606,"[2, 2, 2, 2]","[0.25, 0.14, 0.14, 0.1, 0.1, 0.1, 0.14, 0.1, 0.1, 0.18, 0.1, 0.14]","[9, 6, 9, 7, 6]"
1156076528,21494010,2237.674150906142,0.026315226322724764,2221.3589245834173,"[2, 2, 2, 2]","[0.14, 0.1, 0.1, 0.14, 0.14, 0.14, 0.14, 0.1, 0.14, 0.14, 0.14, 0.14]","[9, 8, 7, 7, 6]"
1203782672,22633130,2261.4383675027575,0.025850478756467052,2245.5878887462904,"[2, 2, 2, 2]","[0.14, 0.1, 0.1, 0.1, 0.1, 0.1, 0.14, 0.14, 0.1, 0.14, 0.1, 0.1]","[9, 8, 9, 7, 7]"
1255409632,24434810,2259.197259840233,0.025602760028383024,2243.5944998118503,"[2, 2, 2, 2]","[0.22, 0.18, 0.18, 0.14, 0.1, 0.1, 0.14, 0.14, 0.1, 0.1, 0.1, 0.1]","[9, 6, 9, 7, 8]"
1296598032,24958346,2262.9883970687256,0.025127886900768084,2247.8605101679577,"[2, 2, 2, 2]","[0.1, 0.1, 0.1, 0.18, 0.18, 0.14, 0.14, 0.14, 0.14, 0.14, 0.1, 0.14]","[9, 9, 7, 7, 7]"
1355741152,26276282,2283.1210378239593,0.024609404640879403,2268.51163318308,"[2, 2, 2, 2]","[0.18, 0.14, 0.1, 0.14, 0.1, 0.1, 0.14, 0.14, 0.1, 0.14, 0.1, 0.1]","[9, 8, 9, 7, 8]"
1407089680,27911802,2276.8756743105446,0.024164684580742352,2262.7109897298023,"[2, 2, 2, 2]","[0.14, 0.14, 0.14, 0.18, 0.14, 0.14, 0.14, 0.14, 0.1, 0.14, 0.14, 0.14]","[9, 8, 7, 8, 7]"
1455638496,28476042,2287.1185026378516,0.023859636235606652,2273.258866402245,"[2, 2, 2, 2]","[0.22, 0.14, 0.1, 0.25, 0.18, 0.18, 0.14, 0.1, 0.1, 0.14, 0.1, 0.1]","[9, 8, 6, 9, 8]"
1505501152,27943674,2299.352270194122,0.02346353048860078,2285.888739705521,"[2, 2, 2, 2]","[0.22, 0.14, 0.14, 0.18, 0.1, 0.14, 0.18, 0.1, 0.1, 0.14, 0.1, 0.1]","[9, 8, 8, 8, 8]"
1552363520,32179034,2306.6185629622537,0.02320656242302752,2293.412000539226,"[2, 2, 2, 2]","[0.25, 0.1, 0.14, 0.14, 0.1, 0.1, 0.22, 0.14, 0.14, 0.14, 0.1, 0.1]","[9, 8, 9, 7, 9]"
1601662976,31389274,2312.0605779012644,0.022899277179704344,2299.16130072156,"[2, 2, 2, 2]","[0.22, 0.14, 0.14, 0.25, 0.18, 0.14, 0.14, 0.1, 0.1, 0.1, 0.1, 0.1]","[9, 8, 7, 9, 9]"
1656655872,33775690,2324.2653972706667,0.02243556790838,2311.8298293622865,"[2, 2, 2, 2]","[0.22, 0.14, 0.14, 0.18, 0.14, 0.14, 0.14, 0.1, 0.1, 0.14, 0.1, 0.1]","[9, 8, 8, 9, 9]"
1706133472,33991258,2327.3677736134905,0.022109211267659704,2315.258562345831,"[2, 2, 2, 2]","[0.22, 0.14, 0.18, 0.14, 0.1, 0.14, 0.14, 0.1, 0.1, 0.14, 0.14, 0.14]","[9, 8, 9, 9, 8]"
1756336128,33894554,2336.064989325133,0.021932451667593163,2324.1325376575396,"[2, 2, 2, 2]","[0.14, 0.14, 0.14, 0.18, 0.14, 0.14, 0.14, 0.1, 0.1, 0.14, 0.1, 0.1]","[9, 9, 8, 9, 9]"
1798361088,34718186,2334.876078015462,0.021701229133091197,2323.174848882371,"[2, 2, 2, 2]","[0.25, 0.18, 0.14, 0.22, 0.14, 0.14, 0.14, 0.1, 0.14, 0.14, 0.1, 0.1]","[9, 8, 8, 9, 9]"
1850363904,35069162,2343.865248066961,0.02140754919662811,2332.457698870333,"[2, 2, 2, 2]","[0.22, 0.18, 0.14, 0.18, 0.14, 0.14, 0.14, 0.1, 0.14, 0.14, 0.1, 0.1]","[9, 8, 9, 9, 9]"
1902600160,36987946,2342.545979903169,0.02105229576870304,2331.493684134466,"[2, 2, 2, 2]","[0.25, 0.18, 0.14, 0.18, 0.14, 0.14, 0.14, 0.14, 0.1, 0.18, 0.14, 0.14]","[9, 8, 9, 9, 8]"
1953583104,35861274,2351.6320200364103,0.020895044342011917,2340.7369756943986,"[2, 2, 2, 2]","[0.25, 0.18, 0.18, 0.18, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.1, 0.1]","[9, 8, 9, 9, 9]"
2000596992,36218474,2354.180964207038,0.020698893138154928,2343.482071068883,"[2, 2, 2, 2]","[0.22, 0.14, 0.14, 0.18, 0.18, 0.18, 0.18, 0.14, 0.14, 0.14, 0.1, 0.1]","[9, 9, 8, 9, 9]"
2051788800,38733482,2358.256360421039,0.020435865710881403,2347.8204947101576,"[2, 2, 2, 2]","[0.25, 0.18, 0.18, 0.22, 0.14, 0.14, 0.18, 0.14, 0.14, 0.18, 0.1, 0.1]","[9, 8, 9, 9, 9]"
2105757696,38730778,2366.932478266496,0.020174603260773447,2356.757875005723,"[2, 2, 2, 2]","[0.25, 0.14, 0.14, 0.18, 0.14, 0.14, 0.18, 0.14, 0.14, 0.18, 0.1, 0.1]","[9, 9, 9, 9, 9]"
2153054176,42236522,2364.252061312726,0.019911400175920135,2354.3406611368055,"[2, 2, 2, 2]","[0.25, 0.14, 0.14, 0.22, 0.14, 0.14, 0.18, 0.1, 0.14, 0.22, 0.14, 0.18]","[9, 9, 9, 9, 8]"
2204848128,44716906,2373.388102270619,0.01971284817921713,2363.675254091402,"[2, 2, 2, 2]","[0.22, 0.14, 0.14, 0.22, 0.14, 0.14, 0.18, 0.14, 0.14, 0.18, 0.14, 0.14]","[9, 9, 9, 9, 9]"
2252034048,42025738,2375.5712473942317,0.019614813182177417,2365.9564342120543,"[2, 2, 2, 2]","[0.22, 0.18, 0.14, 0.22, 0.14, 0.18, 0.18, 0.14, 0.14, 0.18, 0.14, 0.1]","[9, 9, 9, 9, 9]"
2303938560,44813722,2379.2679070748814,0.01937710440415011,2369.8908026707313,"[2, 2, 2, 2]","[0.25, 0.18, 0.18, 0.22, 0.14, 0.14, 0.18, 0.14, 0.14, 0.18, 0.14, 0.14]","[9, 9, 9, 9, 9]"
2351124480,45551082,2381.8233074286504,0.019214009707081217,2372.6092977215694,"[2, 2, 2, 2]","[0.25, 0.18, 0.18, 0.22, 0.14, 0.14, 0.18, 0.14, 0.18, 0.18, 0.14, 0.14]","[9, 9, 9, 9, 9]"
2398310400,49274586,2383.9434103651997,0.019043085270977377,2374.9003250942224,"[2, 2, 2, 2]","[0.25, 0.14, 0.14, 0.25, 0.14, 0.14, 0.18, 0.18, 0.18, 0.18, 0.18, 0.14]","[9, 9, 9, 9, 9]"
2454933504,48514298,2387.4146193096076,0.01885461888043608,2378.5600004291714,"[2, 2, 2, 2]","[0.22, 0.18, 0.18, 0.22, 0.14, 0.18, 0.22, 0.14, 0.18, 0.22, 0.14, 0.14]","[9, 9, 9, 9, 9]"
2499760128,46546586,2390.27990887927,0.018709219592012202,2381.5706892872577,"[2, 2, 2, 2]","[0.25, 0.18, 0.18, 0.22, 0.18, 0.18, 0.22, 0.18, 0.14, 0.18, 0.14, 0.14]","[9, 9, 9, 9, 9]"
2554023936,49385338,2393.0425275978605,0.018524540326868313,2384.5179872709923,"[2, 2, 2, 2]","[0.25, 0.18, 0.18, 0.25, 0.18, 0.14, 0.22, 0.18, 0.18, 0.22, 0.14, 0.14]","[9, 9, 9, 9, 9]"
2603569152,47837002,2395.725248784837,0.018381686472383706,2387.3435623124533,"[2, 2, 2, 2]","[0.25, 0.18, 0.18, 0.25, 0.18, 0.18, 0.25, 0.18, 0.18, 0.18, 0.14, 0.14]","[9, 9, 9, 9, 9]"
2650755072,50786282,2398.119121507849,0.018226970085234176,2389.8921514226145,"[2, 2, 2, 2]","[0.25, 0.18, 0.18, 0.25, 0.18, 0.18, 0.25, 0.18, 0.18, 0.18, 0.14, 0.18]","[9, 9, 9, 9, 9]"
2695581696,52592730,2400.4706481158623,0.01809088547475238,2392.37976264111,"[2, 2, 2, 2]","[0.25, 0.18, 0.22, 0.25, 0.18, 0.18, 0.22, 0.18, 0.18, 0.22, 0.14, 0.18]","[9, 9, 9, 9, 9]"
2752204800,54804762,2403.174076961371,0.01792505016252984,2395.2490267988414,"[2, 2, 2, 2]","[0.25, 0.18, 0.22, 0.25, 0.18, 0.18, 0.25, 0.18, 0.18, 0.25, 0.14, 0.18]","[9, 9, 9, 9, 9]"
2799390720,56205626,2405.264440239194,0.017804684991897003,2397.459755247297,"[2, 2, 2, 2]","[0.25, 0.22, 0.22, 0.22, 0.18, 0.18, 0.22, 0.22, 0.18, 0.22, 0.18, 0.18]","[9, 9, 9, 9, 9]"
2846576640,56168810,2407.816363477091,0.01766738237417486,2400.148981102916,"[2, 2, 2, 2]","[0.25, 0.22, 0.22, 0.25, 0.18, 0.22, 0.25, 0.18, 0.18, 0.22, 0.18, 0.18]","[9, 9, 9, 9, 9]"
2903199744,56611226,2410.20156810669,0.01753547570853702,2402.666092398153,"[2, 2, 2, 2]","[0.25, 0.22, 0.22, 0.25, 0.22, 0.22, 0.22, 0.22, 0.18, 0.22, 0.18, 0.18]","[9, 9, 9, 9, 9]"
2950385664,58122778,2412.432419206005,0.017412625273972526,2405.0197939320324,"[2, 2, 2, 2]","[0.25, 0.22, 0.25, 0.25, 0.22, 0.22, 0.25, 0.18, 0.18, 0.25, 0.18, 0.18]","[9, 9, 9, 9, 9]"
2997571584,58860138,2414.4962940430196,0.017294913137487846,2407.2013809055316,"[2, 2, 2, 2]","[0.25, 0.22, 0.25, 0.25, 0.22, 0.22, 0.25, 0.18, 0.22, 0.25, 0.18, 0.18]","[9, 9, 9, 9, 9]"
3044757504,63247146,2416.120401464231,0.017182246517266395,2408.9381549469645,"[2, 2, 2, 2]","[0.25, 0.22, 0.22, 0.25, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22]","[9, 9, 9, 9, 9]"
3101380608,60814058,2418.76774713543,0.01706187074380448,2411.7058763916257,"[2, 2, 2, 2]","[0.25, 0.25, 0.25, 0.25, 0.22, 0.22, 0.25, 0.22, 0.22, 0.22, 0.22, 0.18]","[9, 9, 9, 9, 9]"
3148566528,63763338,2420.697643943419,0.016946529764137203,2413.7511141792816,"[2, 2, 2, 2]","[0.25, 0.25, 0.25, 0.25, 0.22, 0.22, 0.25, 0.22, 0.22, 0.22, 0.22, 0.22]","[9, 9, 9, 9, 9]"
3195752448,63615882,2422.285816847389,0.016868678318459045,2415.41713852893,"[2, 2, 2, 2]","[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22]","[9, 9, 9, 9, 9]"
3252375552,65827914,2425.0004494068144,0.016714046720153516,2418.286402686661,"[2, 2, 2, 2]","[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.22, 0.22, 0.25, 0.22, 0.22]","[9, 9, 9, 9, 9]"
3299561472,65238090,2426.497133417064,0.016637263289067162,2419.859870127997,"[2, 2, 2, 2]","[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.22, 0.22, 0.22]","[9, 9, 9, 9, 9]"
3327873024,67007690,2427.809056349636,0.016560832596930707,2421.2482237527056,"[2, 2, 2, 2]","[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.22, 0.22]","[9, 9, 9, 9, 9]"
3365621760,69367114,2429.1213304006947,0.016484753023280462,2422.636577377414,"[2, 2, 2, 2]","[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]","[9, 9, 9, 9, 9]"
